lat,lon
261.529542,122.4630599
261.3977758,122.635543
261.2133031,122.2905767
261.0024772,122.0031047
260.8180045,121.7156327
260.6335319,121.3706664
260.4490592,121.0831944
259.8692879,120.2207785
259.1313972,119.415857
258.2090339,118.8984074
257.892795,118.840913
256.8650187,118.3234635
256.5224266,117.9784971
255.3365309,117.1160812
254.466874,116.7136204
254.2033416,116.5411372
253.5181574,115.7937101
253.3073315,115.3912494
252.6221473,114.4138447
251.9633163,112.7465072
251.1463659,111.4816305
250.3030622,109.2968436
249.4070521,106.7095958
249.0381068,105.9046743
248.6691614,105.0422584
248.0366837,103.7198873
247.0089074,101.7650779
246.5872556,100.8451676
246.086544,100.0402461
245.6912455,99.52279653
244.979708,98.89035819
243.5829863,97.7979647
243.0032151,97.28051515
242.4497971,96.82055999
241.5010805,95.15322256
240.3151847,93.83085149
239.2610552,91.30109814
238.0488062,90.20870465
236.704791,88.31138964
235.8614874,86.64405221
235.0972435,85.32168114
234.0431139,83.82682688
233.3315765,82.79192779
233.0680441,82.44696142
232.5936858,81.6420399
232.1193275,80.6071408
231.3287303,79.51474731
231.0651979,79.11228655
230.3536605,78.30736503
229.5367101,77.67492669
228.6143467,77.15747715
227.7973963,76.69752199
227.0331524,76.12257805
225.9526696,75.26016213
225.5837242,74.97269016
224.8458336,74.6277238
224.0025299,74.34025183
223.2119327,73.82280228
222.4476888,73.19036394
221.6043852,72.5579256
220.4975491,71.81049848
219.7333052,71.17806014
218.9954145,70.43063301
218.2838771,70.08566665
217.5196332,69.91318346
216.4918568,69.62571149
215.3323143,69.33823952
214.5944237,68.82078997
213.7247668,67.78589088
213.4875876,67.26844133
213.0132293,66.63600299
212.5652243,66.34853102
212.090866,66.06105905
211.432035,65.71609268
210.6941443,65.31363192
210.4306119,65.19864313
209.5346018,65.08365434
209.2447162,64.96866555
208.1905866,64.68119358
207.5054024,64.22123843
206.7675117,64.22123843
205.9769146,64.85367677
205.2126706,64.39372161
204.3957202,64.96866555
203.0517051,65.02615995
202.2084014,64.68119358
201.3650978,64.45121601
200.6008538,64.39372161
199.4676646,64.45121601
198.4398883,64.73868798
198.0709429,64.79618237
196.7005745,65.14114874
195.6200917,65.25613753
194.7240816,65.37112632
193.8807779,65.5436095
193.0374743,65.4861151
191.8779318,65.4861151
190.5866231,65.37112632
190.0068518,65.19864313
189.4534338,65.08365434
188.7418964,64.27873282
187.7141201,63.01385615
187.0289359,62.43891221
186.1329257,62.553901
185.8693933,62.4964066
185.1051494,62.43891221
184.7362041,61.57649629
184.5253782,60.71408038
184.3145523,59.85166446
184.1300796,59.10423734
184.0510199,58.81676537
183.9192537,58.58678779
183.3921889,57.95434945
182.9968903,57.4943943
182.1535867,56.74696717
181.1785168,55.82705686
180.8095715,55.53958489
180.098034,55.25211292
179.1756707,54.50468579
178.8594318,54.15971943
178.2006009,53.35479791
177.2518843,52.66486518
176.2241079,51.97493244
175.8551626,51.68746047
175.0909187,51.11251653
174.353028,50.48007819
173.5097243,49.79014546
172.033943,48.64025757
171.0588731,47.89283045
170.268276,47.26039211
169.2932061,46.3979762
168.3444895,45.65054907
167.4484794,45.07560513
166.5788225,44.90312194
165.6828124,44.78813316
164.8922153,43.98321164
164.0752649,43.17829012
163.3110209,42.54585178
162.5731302,42.20088541
161.8088863,41.68343586
161.5980604,41.51095268
160.7284035,41.16598632
160.5175776,41.22348071
160.0959258,40.99350313
159.674274,40.70603116
158.8573236,40.59104237
158.4356717,40.3610648
157.9613134,40.13108722
157.0653033,40.01609843
156.7227112,39.95860404
155.9848205,39.78612085
155.1415169,39.49864888
154.1928003,39.09618812
153.0332578,38.57873857
151.952775,38.23377221
150.9249987,37.77381705
149.3965108,36.62392917
148.3687345,36.22146841
147.4990776,36.10647962
146.655774,35.93399643
